timestamp,source_ip,destination_ip,source_port,destination_port,protocol,event_type,username,login_status,http_method,url_or_path,response_status_code,bytes_transferred,true_label
2025-01-01T09:00:29,192.168.1.183,10.0.0.5,16027,443,TCP,login,alice,success,GET,/home,200,457,normal
2025-01-01T09:01:29,192.168.1.72,10.0.0.5,57717,443,TCP,login,dave,failed,GET,/cart,200,601,normal
2025-01-01T09:01:40,192.168.1.64,10.0.0.5,41084,443,TCP,login,alice,success,GET,/home,200,3930,normal
2025-01-01T09:01:50,192.168.1.153,10.0.0.5,2800,443,TCP,login,dave,success,GET,/home,200,3711,normal
2025-01-01T09:02:10,192.168.1.25,10.0.0.5,34142,443,TCP,login,alice,success,GET,/login,200,417,normal
2025-01-01T09:02:16,192.168.1.95,10.0.0.5,6930,443,TCP,login,erin,success,GET,/about,200,2876,normal
2025-01-01T09:02:27,192.168.1.19,10.0.0.5,45876,443,TCP,login,erin,success,GET,/about,200,2063,normal
2025-01-01T09:03:06,192.168.1.143,10.0.0.5,62895,443,TCP,login,alice,success,GET,/products,200,4221,normal
2025-01-01T09:03:27,192.168.1.216,10.0.0.5,7136,443,TCP,login,erin,failed,GET,/products,200,1562,normal
2025-01-01T09:03:52,192.168.1.22,10.0.0.5,5514,443,TCP,login,erin,success,GET,/login,200,756,normal
2025-01-01T09:03:54,192.168.1.151,10.0.0.5,61276,443,TCP,login,alice,success,GET,/login,200,1489,normal
2025-01-01T09:03:57,192.168.1.226,10.0.0.5,6185,443,TCP,login,bob,success,GET,/home,200,4181,normal
2025-01-01T09:04:52,192.168.1.44,10.0.0.5,40020,443,TCP,login,alice,success,GET,/cart,200,4862,normal
2025-01-01T09:05:08,192.168.1.195,10.0.0.5,57394,443,TCP,login,bob,success,GET,/cart,200,3455,normal
2025-01-01T09:05:23,192.168.1.224,10.0.0.5,45793,443,TCP,login,erin,success,GET,/products,200,4276,normal
2025-01-01T09:06:19,192.168.1.26,10.0.0.5,23565,443,TCP,login,dave,success,GET,/login,200,2366,normal
2025-01-01T09:06:22,192.168.1.174,10.0.0.5,53882,443,TCP,login,bob,success,GET,/products,200,1407,normal
2025-01-01T09:06:37,192.168.1.92,10.0.0.5,31630,443,TCP,login,dave,success,GET,/cart,200,643,normal
2025-01-01T09:06:57,192.168.1.219,10.0.0.5,53815,443,TCP,login,carol,success,GET,/home,200,4836,normal
2025-01-01T09:07:00,192.168.1.148,10.0.0.5,32397,443,TCP,login,alice,success,GET,/contact,200,2991,normal
2025-01-01T09:07:16,192.168.1.99,10.0.0.5,38694,443,TCP,login,bob,success,GET,/about,200,2618,normal
2025-01-01T09:07:22,192.168.1.8,10.0.0.5,38759,443,TCP,login,erin,success,GET,/cart,200,3274,normal
2025-01-01T09:07:36,192.168.1.113,10.0.0.5,1236,443,TCP,login,carol,success,GET,/cart,200,2357,normal
2025-01-01T09:07:38,192.168.1.226,10.0.0.5,53896,443,TCP,login,carol,success,GET,/about,200,2161,normal
2025-01-01T09:08:14,192.168.1.82,10.0.0.5,36142,443,TCP,login,bob,success,GET,/cart,200,1716,normal
2025-01-01T09:08:42,192.168.1.80,10.0.0.5,62174,443,TCP,login,alice,success,GET,/home,200,3131,normal
2025-01-01T09:09:15,192.168.1.48,10.0.0.5,25868,443,TCP,login,dave,failed,GET,/about,200,1933,normal
2025-01-01T09:09:26,192.168.1.128,10.0.0.5,4111,443,TCP,login,erin,failed,GET,/home,200,1452,normal
2025-01-01T09:09:45,192.168.1.37,10.0.0.5,37813,443,TCP,login,carol,success,GET,/login,200,2352,normal
2025-01-01T09:10:11,192.168.1.244,10.0.0.5,17289,443,TCP,login,erin,success,GET,/home,200,4771,normal
2025-01-01T09:10:36,192.168.1.74,10.0.0.5,48053,443,TCP,login,carol,success,GET,/about,200,1867,normal
2025-01-01T09:10:47,192.168.1.115,10.0.0.5,39531,443,TCP,login,alice,success,GET,/about,200,3675,normal
2025-01-01T09:11:06,192.168.1.92,10.0.0.5,18520,443,TCP,login,carol,success,GET,/cart,200,784,normal
2025-01-01T09:12:35,192.168.1.66,10.0.0.5,32332,443,TCP,login,alice,success,GET,/home,200,735,normal
2025-01-01T09:12:48,192.168.1.94,10.0.0.5,33693,443,TCP,login,erin,success,GET,/cart,200,3821,normal
2025-01-01T09:13:02,192.168.1.63,10.0.0.5,33043,443,TCP,login,alice,success,GET,/login,200,2168,normal
2025-01-01T09:13:04,192.168.1.139,10.0.0.5,28672,443,TCP,login,bob,success,GET,/products,200,2481,normal
2025-01-01T09:13:04,192.168.1.191,10.0.0.5,48510,443,TCP,login,bob,success,GET,/login,200,4497,normal
2025-01-01T09:13:07,192.168.1.13,10.0.0.5,51687,443,TCP,login,alice,success,GET,/about,200,853,normal
2025-01-01T09:13:36,192.168.1.161,10.0.0.5,9296,443,TCP,login,alice,success,GET,/contact,200,1137,normal
2025-01-01T09:14:20,192.168.1.172,10.0.0.5,52149,443,TCP,login,bob,success,GET,/login,200,3529,normal
2025-01-01T09:14:27,192.168.1.195,10.0.0.5,14206,443,TCP,login,erin,success,GET,/cart,200,2753,normal
2025-01-01T09:14:37,192.168.1.35,10.0.0.5,58851,443,TCP,login,erin,success,GET,/login,200,4920,normal
2025-01-01T09:14:51,192.168.1.150,10.0.0.5,5018,443,TCP,login,alice,success,GET,/cart,200,2769,normal
2025-01-01T09:14:56,192.168.1.207,10.0.0.5,34968,443,TCP,login,bob,success,GET,/contact,200,611,normal
2025-01-01T09:14:57,192.168.1.160,10.0.0.5,50541,443,TCP,login,bob,success,GET,/cart,200,1320,normal
2025-01-01T09:15:00,203.0.113.118,10.0.0.5,25338,443,TCP,login,admin,failed,POST,/login,401,271,brute_force
2025-01-01T09:15:04,203.0.113.118,10.0.0.5,63242,443,TCP,login,admin,failed,POST,/login,401,290,brute_force
2025-01-01T09:15:08,203.0.113.118,10.0.0.5,46668,443,TCP,login,admin,failed,POST,/login,401,238,brute_force
2025-01-01T09:15:11,192.168.1.211,10.0.0.5,23939,443,TCP,login,bob,success,GET,/about,200,2064,normal
2025-01-01T09:15:12,203.0.113.118,10.0.0.5,28491,443,TCP,login,admin,failed,POST,/login,401,250,brute_force
2025-01-01T09:15:13,192.168.1.170,10.0.0.5,22536,443,TCP,login,alice,success,GET,/about,200,768,normal
2025-01-01T09:15:16,203.0.113.118,10.0.0.5,49669,443,TCP,login,admin,failed,POST,/login,401,286,brute_force
2025-01-01T09:15:18,192.168.1.201,10.0.0.5,3662,443,TCP,login,alice,success,GET,/home,200,2225,normal
2025-01-01T09:15:20,192.168.1.88,10.0.0.5,37325,443,TCP,login,alice,failed,GET,/products,200,2004,normal
2025-01-01T09:15:20,192.168.1.120,10.0.0.5,43472,443,TCP,login,alice,success,GET,/products,200,4282,normal
2025-01-01T09:15:20,203.0.113.118,10.0.0.5,11150,443,TCP,login,admin,failed,POST,/login,401,206,brute_force
2025-01-01T09:15:24,203.0.113.118,10.0.0.5,43944,443,TCP,login,admin,failed,POST,/login,401,125,brute_force
2025-01-01T09:15:28,203.0.113.118,10.0.0.5,55660,443,TCP,login,admin,failed,POST,/login,401,225,brute_force
2025-01-01T09:15:32,203.0.113.118,10.0.0.5,41371,443,TCP,login,admin,failed,POST,/login,401,204,brute_force
2025-01-01T09:15:36,203.0.113.118,10.0.0.5,62565,443,TCP,login,admin,failed,POST,/login,401,171,brute_force
2025-01-01T09:15:40,203.0.113.118,10.0.0.5,3168,443,TCP,login,admin,failed,POST,/login,401,276,brute_force
2025-01-01T09:15:44,203.0.113.118,10.0.0.5,25307,443,TCP,login,admin,failed,POST,/login,401,155,brute_force
2025-01-01T09:15:47,192.168.1.179,10.0.0.5,15045,443,TCP,login,dave,success,GET,/home,200,3598,normal
2025-01-01T09:15:48,203.0.113.118,10.0.0.5,30081,443,TCP,login,admin,failed,POST,/login,401,213,brute_force
2025-01-01T09:15:52,203.0.113.118,10.0.0.5,63319,443,TCP,login,admin,failed,POST,/login,401,160,brute_force
2025-01-01T09:15:56,203.0.113.118,10.0.0.5,57086,443,TCP,login,admin,failed,POST,/login,401,192,brute_force
2025-01-01T09:16:00,203.0.113.118,10.0.0.5,7535,443,TCP,login,admin,failed,POST,/login,401,275,brute_force
2025-01-01T09:16:04,203.0.113.118,10.0.0.5,25097,443,TCP,login,admin,failed,POST,/login,401,239,brute_force
2025-01-01T09:16:08,203.0.113.118,10.0.0.5,60117,443,TCP,login,admin,failed,POST,/login,401,265,brute_force
2025-01-01T09:16:12,203.0.113.118,10.0.0.5,24530,443,TCP,login,admin,failed,POST,/login,401,115,brute_force
2025-01-01T09:16:16,203.0.113.118,10.0.0.5,27116,443,TCP,login,admin,failed,POST,/login,401,170,brute_force
2025-01-01T09:16:17,192.168.1.103,10.0.0.5,43327,443,TCP,login,carol,success,GET,/about,200,3945,normal
2025-01-01T09:16:20,203.0.113.118,10.0.0.5,13463,443,TCP,login,admin,failed,POST,/login,401,131,brute_force
2025-01-01T09:16:22,192.168.1.143,10.0.0.5,1199,443,TCP,login,bob,failed,GET,/contact,200,3890,normal
2025-01-01T09:16:24,203.0.113.118,10.0.0.5,63218,443,TCP,login,admin,failed,POST,/login,401,216,brute_force
2025-01-01T09:16:28,203.0.113.118,10.0.0.5,7031,443,TCP,login,admin,failed,POST,/login,401,269,brute_force
2025-01-01T09:16:32,203.0.113.118,10.0.0.5,14924,443,TCP,login,admin,failed,POST,/login,401,264,brute_force
2025-01-01T09:16:36,203.0.113.118,10.0.0.5,42933,443,TCP,login,admin,failed,POST,/login,401,252,brute_force
2025-01-01T09:16:38,192.168.1.143,10.0.0.5,13515,443,TCP,login,dave,success,GET,/login,200,4363,normal
2025-01-01T09:16:39,192.168.1.169,10.0.0.5,59525,443,TCP,login,bob,success,GET,/home,200,3682,normal
2025-01-01T09:16:40,192.168.1.74,10.0.0.5,55664,443,TCP,login,carol,success,GET,/login,200,2678,normal
2025-01-01T09:17:13,192.168.1.122,10.0.0.5,36375,443,TCP,login,alice,failed,GET,/home,200,3066,normal
2025-01-01T09:17:23,192.168.1.183,10.0.0.5,35097,443,TCP,login,alice,success,GET,/login,200,1814,normal
2025-01-01T09:17:41,192.168.1.217,10.0.0.5,51212,443,TCP,login,bob,success,GET,/login,200,4169,normal
2025-01-01T09:18:07,192.168.1.29,10.0.0.5,23678,443,TCP,login,alice,success,GET,/cart,200,2769,normal
2025-01-01T09:18:12,192.168.1.203,10.0.0.5,26094,443,TCP,login,bob,success,GET,/home,200,4055,normal
2025-01-01T09:18:25,192.168.1.58,10.0.0.5,56261,443,TCP,login,erin,success,GET,/home,200,2076,normal
2025-01-01T09:18:32,192.168.1.83,10.0.0.5,6304,443,TCP,login,carol,success,GET,/products,200,1435,normal
2025-01-01T09:18:35,192.168.1.140,10.0.0.5,6295,443,TCP,login,erin,success,GET,/login,200,526,normal
